Bus number: 16638, root cords: [55.787489, 49.122289]
[55.795138, 49.173538] 0.05181666915192312
[55.796885, 49.175995] 0.054521731924067285
[55.799583, 49.17992] 0.05888630568307047
[55.801138, 49.183053] 0.06227807717808807
[55.803665, 49.185443] 0.06519271962420117
[55.805325, 49.184625] 0.0648374875515658
[55.806158, 49.184203] 0.06466741804803573
[55.806428, 49.184008] 0.06455943526704228
[55.809893, 49.18243] 0.06417849403810755
[55.81105, 49.181808] 0.06401274937072607
[55.811603, 49.181558] 0.06398671234717349
[55.812532, 49.181142] 0.06395957674969191
[55.81434, 49.180427] 0.06403907592243961
[55.816225, 49.181192] 0.0655386992928622
[55.817077, 49.18178] 0.06644267322286158
[55.818277, 49.182593] 0.06770873917006187
[55.819583, 49.183465] 0.06908348436493032
[55.8194, 49.181548] 0.06730483639382638
[55.818777, 49.17727] 0.06326017155366835
[55.821445, 49.17067] 0.05910779218512281
[55.824908, 49.158538] 0.052097711677192154
[55.82616, 49.154367] 0.05024384862846361
[55.827278, 49.14818] 0.04747113230164193
[55.828362, 49.147575] 0.048062292132189
[55.83068, 49.147577] 0.05004942981693024
[55.832067, 49.147582] 0.051253623608482624
[55.835668, 49.147597] 0.054421603293173304
[55.835895, 49.15125] 0.056408158603164185
[55.835848, 49.15821] 0.060240444238064954
[55.836683, 49.159472] 0.06166542892901914
[55.839927, 49.159485] 0.06429063897644678
[55.842993, 49.15459] 0.06421875595960805
[55.842957, 49.151477] 0.06267885104243381
[55.84298, 49.149963] 0.06200888127518077
[55.842983, 49.149367] 0.06174789162391967
[55.843008, 49.148452] 0.06137476623172975
[55.843018, 49.146615] 0.06062362672258852
[55.842992, 49.14265] 0.059119821802845696
[55.843013, 49.13854] 0.05785334542616975
[55.84306, 49.134723] 0.056945064729088044
[55.845548, 49.1338] 0.05918910881234807
[55.852452, 49.13071] 0.06550652341560964
[55.850507, 49.132417] 0.06382667708724807
[55.843633, 49.13361] 0.057274023579625216
[55.841447, 49.133587] 0.055128128645910726
[55.83892, 49.13354] 0.052647248380139726
[55.83892, 49.13354] 0.052647248380139726
[55.837267, 49.13355] 0.05103586390960359
[55.83624, 49.133535] 0.05003131536347595
[55.836055, 49.13162] 0.049454260857887886
[55.83604, 49.125962] 0.04868973741970302
[55.83605, 49.119235] 0.048656938220565576
[55.83608, 49.111722] 0.0497267208852566
[55.836068, 49.105425] 0.05142289117698313
[55.836062, 49.102102] 0.052600867844549475
[55.836062, 49.102102] 0.052600867844549475
[55.835712, 49.098403] 0.0538144843420452
[55.83485, 49.090818] 0.056863768447056165
[55.832728, 49.09073] 0.05515920233288635
[55.829332, 49.092115] 0.05158785637143832
[55.826132, 49.09358] 0.04814029632231181
[55.826132, 49.09358] 0.04814029632231181
[55.819553, 49.096553] 0.041114982573266325
[55.819478, 49.096597] 0.04102895300881685
[55.8171, 49.098338] 0.03808492775364481
[55.813898, 49.100697] 0.03411231075433451
[55.811135, 49.102528] 0.030816074328182577
[55.80344, 49.101388] 0.026292322111219523
[55.796478, 49.102428] 0.021800491783442563
[55.795913, 49.102237] 0.021749631721018993
[55.795333, 49.100562] 0.023099585818802507
[55.793757, 49.102062] 0.02117591445487554
[55.793103, 49.102807] 0.020274745867708267
[55.792253, 49.103798] 0.019094836396266406
[55.790373, 49.106142] 0.016402532274015762
[55.789217, 49.107563] 0.014827038139833994
[55.787107, 49.110065] 0.01222996729350014
[55.786673, 49.110595] 0.011722435412488585
[55.785367, 49.112155] 0.01035378384939608
[55.785097, 49.112485] 0.010091584612936296
[55.784687, 49.112928] 0.009771362494561227
[55.783628, 49.114345] 0.008832579294862588
[55.783103, 49.114942] 0.008556600084149978
[55.78307, 49.116832] 0.007021852319722044
[55.785783, 49.120332] 0.002596205885520779
[55.786793, 49.121855] 8.202267979051945E-4
[55.786807, 49.121887] 7.916615438416024E-4
[55.786925, 49.1222] 5.709789838560122E-4
[55.787432, 49.12286] 5.738379562216745E-4
[55.788173, 49.12381] 0.0016677220991489434
[55.791387, 49.124842] 0.004659636573810309
[55.792893, 49.125052] 0.0060693809404217605
[55.794128, 49.125173] 0.0072383545782150295
[55.794362, 49.12588] 0.007754573489237453
[55.79403, 49.12902] 0.00938568282012093
[55.793813, 49.132668] 0.01215387251043876
[55.793712, 49.134523] 0.013725759906102373
[55.793485, 49.137585] 0.016429231022781692
[55.793713, 49.14297] 0.0215972668872659
[55.79355, 49.146832] 0.025280319816016868
[55.792607, 49.152065] 0.030212648013702048
[55.792345, 49.155098] 0.033166417005760326
[55.792512, 49.16025] 0.03829187968747011
[55.79295, 49.164275] 0.04233965891454587
[55.793218, 49.16628] 0.044362478763025404
[55.793607, 49.170618] 0.04871470173366111
[55.79446, 49.172572] 0.05076391365921299
[55.796777, 49.1759] 0.05440961555643992
[55.797693, 49.177207] 0.05585792996522615
[55.800428, 49.181585] 0.06069129539727625
[55.801415, 49.183533] 0.06280733247001759
[55.802013, 49.184757] 0.06413421551714409
[55.804888, 49.184815] 0.06490166312968954
[55.80705, 49.183698] 0.06444918930444003
[55.809942, 49.182432] 0.0641974894991971
[55.811362, 49.181735] 0.06406049519790048
[55.81188, 49.181455] 0.06399637831158717
[55.812592, 49.181198] 0.06403460697154358
[55.81443, 49.180345] 0.064002473522514
[55.815392, 49.180667] 0.06470369613089991
[55.816382, 49.181333] 0.06573430904025546
[55.81667, 49.181538] 0.06604524783813151
[55.817923, 49.182322] 0.06730668202340412
[55.818498, 49.182672] 0.06787978174684402
[55.819677, 49.183555] 0.06920686454391216
[55.819677, 49.183555] 0.06920686454391216
[55.819617, 49.181647] 0.06749504091412596
[55.817047, 49.18083] 0.0655799058020052
[55.81767, 49.178678] 0.0639578930390883
[55.820057, 49.175092] 0.062038950934066917
[55.823317, 49.164708] 0.05552492363794623
[55.825093, 49.157847] 0.05175357166418325
[55.826792, 49.151927] 0.04922536798236917
[55.827305, 49.14835] 0.04758665334944318
[55.828427, 49.147518] 0.04808765210529157
[55.830872, 49.147498] 0.05017547578249472
[55.83255, 49.147467] 0.051618072464976454
[55.835875, 49.149035] 0.05528610595800575
[55.835848, 49.15283] 0.05719567782621129
[55.835898, 49.158737] 0.060596105361648056
[55.836738, 49.159457] 0.06170027734945529
[55.839238, 49.159428] 0.06369665864077816
[55.843005, 49.154565] 0.0642165588613983
[55.843037, 49.148317] 0.061343598590236074
[55.843052, 49.144333] 0.05977612320149222
[55.843033, 49.139717] 0.05821401137183015
[55.843077, 49.134692] 0.056954895777272724
[55.8504, 49.132605] 0.06375118647523262
[55.851575, 49.13021] 0.06457366055133809
[55.846925, 49.133427] 0.06047059731803272
[55.843058, 49.13359] 0.05670649312027446
[55.839347, 49.13355] 0.05306658350600218
[55.838932, 49.133492] 0.05264873652804767
[55.838873, 49.133512] 0.05259535326433218
[55.836227, 49.133512] 0.050013481912380794
[55.836227, 49.133512] 0.050013481912380794
[55.83607, 49.130793] 0.049319687519283645
[55.836073, 49.125293] 0.04867678165203413
[55.836077, 49.121652] 0.048592175429797636
[55.836072, 49.116527] 0.04892349673725416
[55.836138, 49.10872] 0.05050587056966609
[55.836073, 49.10454] 0.051724578847970284
[55.836082, 49.102552] 0.05244834428272885
[55.835888, 49.099595] 0.05345540980106413
[55.834892, 49.090562] 0.057040748049096354
[55.834005, 49.089978] 0.05663690472650946
[55.829407, 49.092083] 0.051667409069936915
[55.827347, 49.093038] 0.049439671975047686
[55.823123, 49.094947] 0.04491510792595699
[55.820263, 49.096237] 0.041866953316425544
[55.819687, 49.096517] 0.04124205605932185
[55.817472, 49.098118] 0.03851256327486151
[55.813197, 49.10121] 0.03324493201978455
[55.808192, 49.102242] 0.028818334754112808
[55.801058, 49.102017] 0.024394092420095114
[55.796435, 49.102452] 0.02176091645588786
[55.795425, 49.100735] 0.022968565736677875
[55.793132, 49.102768] 0.0203202581184435
[55.790545, 49.10585] 0.016720641644392218
[55.790042, 49.10646] 0.016033560116209683
[55.78773, 49.109243] 0.01304822581809779
[55.786977, 49.110105] 0.012194752970032599
[55.785638, 49.111747] 0.01070326889319461
[55.783863, 49.113887] 0.009151037099700433
[55.783378, 49.114497] 0.00880997077180429
[55.782757, 49.116343] 0.007599127581509478
[55.782873, 49.116573] 0.00734711589673001
[55.783103, 49.116798] 0.007027665117236652
[55.783873, 49.117718] 0.0058283356972632944
[55.783873, 49.117718] 0.0058283356972632944
[55.785542, 49.119973] 0.0030256676949075006
[55.786722, 49.121768] 9.272162638802875E-4
[55.786722, 49.121768] 9.272162638802875E-4
[55.786722, 49.121768] 9.272162638802875E-4
[55.786722, 49.121768] 9.272162638802875E-4
[55.787045, 49.122213] 4.504575451709888E-4
[55.787713, 49.123152] 8.915968819989015E-4
[55.793005, 49.125025] 0.006157268225438449
[55.794405, 49.125635] 0.00768288825897913
[55.794158, 49.128007] 0.008784707451017814
[55.794158, 49.128007] 0.008784707451017814
[55.793678, 49.135465] 0.014557152777931064
[55.793508, 49.137563] 0.01641716897031773
[55.7934, 49.14239] 0.020952091112818386
[55.79401, 49.144592] 0.023236765050239444
[55.792645, 49.151572] 0.029733456324483463
[55.792383, 49.155197] 0.03326992185142519
[55.792737, 49.162367] 0.0404201383965977
[55.79292, 49.164043] 0.042105727365761056
[55.792948, 49.16437] 0.04243360981580152
[55.793073, 49.165098] 0.04317165200684176
[55.793645, 49.170762] 0.04886233789945067
[55.794245, 49.172263] 0.05042860509670903
[55.795943, 49.174638] 0.05302723750111784
[55.796755, 49.175852] 0.05435856625224407
[55.798903, 49.178915] 0.05776489653760496
[55.800833, 49.182457] 0.0616299485639862
[55.801365, 49.183477] 0.06274165059990103
[55.801803, 49.184412] 0.06375074685836966
[55.804007, 49.185292] 0.0651323447528129
[55.806152, 49.184223] 0.06468483535574604
[55.80645, 49.184042] 0.06459839417508302
[55.806645, 49.18395] 0.06456803587689652
[55.80677, 49.183873] 0.06453174425815192
[55.80677, 49.183873] 0.06453174425815192
[55.80677, 49.183873] 0.06453174425815192
[55.807377, 49.183558] 0.06441601435201927
[55.808018, 49.18322] 0.06429639649311165
[55.808895, 49.182882] 0.06426296355599871
[55.809168, 49.182875] 0.06434782387151904
[55.809168, 49.182875] 0.06434782387151904
[55.80947, 49.182643] 0.06423215454115995
[55.80947, 49.182643] 0.06423215454115995
[55.80947, 49.182643] 0.06423215454115995
[55.809612, 49.18254] 0.06418418909669373
[55.809612, 49.18254] 0.06418418909669373
[55.809612, 49.18254] 0.06418418909669373
[55.810397, 49.182147] 0.0640917828430436
[55.810665, 49.182022] 0.06407150899580981
[55.810995, 49.18183] 0.06401298865854799
[55.810995, 49.18183] 0.06401298865854799
[55.810995, 49.18183] 0.06401298865854799
[55.810995, 49.18183] 0.06401298865854799
[55.811628, 49.181575] 0.06401188262346243
[55.811628, 49.181575] 0.06401188262346243
