Bus number: 2754, root cords: [55.787227, 49.160156]
[55.7878, 49.15349] 0.0066905818132679176
[55.787568, 49.156578] 0.0035942127093399334
[55.787202, 49.159695] 4.6167737653182776E-4
[55.787202, 49.159695] 4.6167737653182776E-4
[55.786807, 49.166773] 0.0066303159049911995
[55.787272, 49.170398] 0.010242098857165987
[55.785728, 49.17094] 0.010887683729794397
[55.785728, 49.17094] 0.010887683729794397
[55.784083, 49.170815] 0.01111301115809421
[55.781497, 49.170797] 0.012085684961970123
[55.778373, 49.173027] 0.015622290389053477
[55.775055, 49.174748] 0.01900221166075155
[55.771372, 49.175457] 0.02203410143391578
[55.770583, 49.176038] 0.023005665823877152
[55.767112, 49.179263] 0.02774329962351444
[55.7668, 49.179793] 0.02833503305097343
[55.766455, 49.180322] 0.02895070879961113
[55.76405, 49.184463] 0.03358576451415391
[55.761575, 49.18878] 0.03843642126941689
[55.761213, 49.189385] 0.03912879549641456
[55.75885, 49.193427] 0.043728864266064434
[55.756113, 49.198175] 0.049127643511571235
[55.75311, 49.203262] 0.05497360207408893
[55.749897, 49.208817] 0.06133043144313096
[55.746338, 49.214938] 0.06835918259458305
[55.74514, 49.21721] 0.0708976338462736
[55.747638, 49.221928] 0.0733694003314711
[55.751418, 49.228913] 0.07752296130824564
[55.755142, 49.231405] 0.07814004879701814
[55.760248, 49.231522] 0.07629529734524855
[55.764252, 49.231628] 0.07507394627299212
[55.76718, 49.231632] 0.0742340944916788
[55.768463, 49.231677] 0.07394147102269298
[55.7717, 49.231743] 0.07325152761547091
[55.773457, 49.231665] 0.0728227298375986
[55.775002, 49.23169] 0.07257109466585154
[55.776333, 49.231752] 0.07242006940068439
[55.778718, 49.231042] 0.07139487430481466
[55.781505, 49.22832] 0.06840374390338168
[55.782745, 49.223498] 0.06350037234536393
[55.786578, 49.224047] 0.06389429616170575
[55.788475, 49.22454] 0.0643960942914987
[55.791163, 49.225205] 0.06516797140467252
[55.792508, 49.229848] 0.06989180084244109
[55.791672, 49.225915] 0.0659090593621238
[55.789613, 49.224628] 0.0645161358111308
[55.78885, 49.224662] 0.06452641447500533
[55.785577, 49.223637] 0.06350243980351836
[55.783178, 49.22354] 0.06351319435361377
[55.78254, 49.222062] 0.062083176505395535
[55.785367, 49.219747] 0.059620020806770146
[55.78263, 49.219103] 0.05912597752257125
[55.778678, 49.219342] 0.05980023408816778
[55.782343, 49.221292] 0.061330774917652486
[55.781523, 49.22794] 0.06802357144401847
[55.779378, 49.230302] 0.07058376666769893
[55.776697, 49.231685] 0.07229992213688614
[55.772993, 49.231638] 0.07288541061144876
[55.769568, 49.231515] 0.0735115444131071
[55.768962, 49.231472] 0.07361781089518625
[55.765322, 49.231448] 0.07458135349402104
[55.765322, 49.231448] 0.07458135349402104
[55.759127, 49.231347] 0.07653606000441855
[55.754242, 49.231255] 0.07837779038732698
[55.754093, 49.231263] 0.07844786424753673
[55.75125, 49.228342] 0.07709523412636998
[55.74992, 49.225877] 0.07557156932338646
[55.747907, 49.22221] 0.07346265252493826
[55.745307, 49.21722] 0.07080668397828013
[55.747735, 49.213057] 0.06601616366466671
[55.749492, 49.210008] 0.0625232127213606
[55.753772, 49.202807] 0.054206501694909086
[55.756093, 49.19882] 0.04964101985253602
[55.757343, 49.196615] 0.04714140575969506
[55.758795, 49.194132] 0.044302902839433764
[55.759983, 49.192267] 0.042111184464465025
[55.760905, 49.190533] 0.04019464905929778
[55.764282, 49.184767] 0.033647798531256205
[55.764912, 49.183903] 0.03258648851901602
[55.76649, 49.180783] 0.02924886831998912
[55.767867, 49.17874] 0.026836070055055544
[55.769403, 49.177532] 0.024892174513290642
[55.770082, 49.176937] 0.023990685400797396
[55.771812, 49.175602] 0.021822033383716757
[55.774393, 49.175158] 0.019742633056409366
[55.779293, 49.17273] 0.014867879203168132
[55.781857, 49.17083] 0.011948689300505985
[55.783737, 49.170942] 0.011336573379990458
[55.78563, 49.171055] 0.011015380610766732
[55.786855, 49.171205] 0.011055260512534115
[55.787435, 49.170435] 0.01028110426948095
[55.786733, 49.164848] 0.004717933869819502
[55.787043, 49.161548] 0.001404108257937829
[55.787183, 49.159885] 2.7454872062913856E-4
[55.787647, 49.156157] 0.004020995026109961
[55.787932, 49.152785] 0.007404638141056056
[55.788655, 49.152127] 0.008154999999999992
[55.790703, 49.152662] 0.008260908666727431
[55.79212, 49.153108] 0.008579962295949888
[55.7929, 49.153752] 0.00855535767809048
[55.793778, 49.154647] 0.008559479072937904
[55.793778, 49.154647] 0.008559479072937904
[55.793787, 49.155422] 0.008089768599904217
[55.793667, 49.155502] 0.007945647613630464
[55.793298, 49.155642] 0.007565265163891233
[55.792517, 49.155008] 0.007381463540513614
[55.792857, 49.151632] 0.010215452804451821
[55.793865, 49.146162] 0.015488546736219135
[55.794653, 49.142333] 0.019308153847531023
[55.794897, 49.139197] 0.022318346287300613
[55.795252, 49.13589] 0.025558548100387234
[55.795577, 49.132162] 0.029212780353810565
[55.79593, 49.128448] 0.032880685409523706
[55.796025, 49.126912] 0.03438849138883825
[55.796112, 49.126022] 0.03527142159029179
[55.794722, 49.125117] 0.035831641687198934
[55.793082, 49.124858] 0.03578029945374659
[55.790877, 49.124663] 0.03568018426241905
[55.7891, 49.12405] 0.03615454833074611
[55.787252, 49.122002] 0.03815400819048898
[55.786445, 49.120887] 0.03927678557366669
[55.785095, 49.119033] 0.04117822911442312
[55.78316, 49.116247] 0.04409694740001775
[55.78291, 49.115185] 0.04517773046535595
[55.784315, 49.113397] 0.04684958724471494
[55.784315, 49.113397] 0.04684958724471494
[55.78871, 49.108108] 0.05206912322096387
[55.790435, 49.106068] 0.0541830509292345
[55.79032, 49.10252] 0.057718932292621775
[55.789708, 49.1013] 0.0589082684943279
[55.791498, 49.099125] 0.06118026153915937
[55.795852, 49.091955] 0.06874421449111322
[55.79799, 49.079183] 0.08168518163045223
[55.800455, 49.071028] 0.09010427497072689
[55.799853, 49.067652] 0.09336169392207701
[55.798767, 49.059263] 0.10155082003115369
[55.798452, 49.056367] 0.10439423904603025
[55.797253, 49.0462] 0.11439620016416768
[55.799447, 49.03698] 0.12378067448515616
[55.800247, 49.025347] 0.13543628347308212
[55.800617, 49.016408] 0.14437028643041705
[55.801052, 49.00783] 0.1529520869455549
[55.800575, 49.017582] 0.14319746708654088
[55.80021, 49.025693] 0.13508832909619162
[55.799632, 49.034608] 0.12615936084571974
[55.798282, 49.041908] 0.11876364144383696
[55.79772, 49.050383] 0.11027336295770088
[55.798608, 49.057665] 0.10312095927598869
[55.799123, 49.061968] 0.09890600669322404
[55.800062, 49.06923] 0.09182741802425058
[55.799992, 49.071817] 0.08925650758347899
[55.797272, 49.08284] 0.07796579943154862
[55.794318, 49.095275] 0.06526734590896051
[55.7911, 49.099487] 0.06079249698770112
[55.789795, 49.101208] 0.05900390942980039
[55.788798, 49.10185] 0.058327160714372155
[55.788757, 49.104018] 0.05615884564340389
[55.790158, 49.1061] 0.05413540336046532
[55.790238, 49.106217] 0.054022975130956795
[55.788428, 49.108503] 0.05166696052604781
[55.787148, 49.109995] 0.05016106220964903
[55.785885, 49.111487] 0.048687498652121956
[55.783692, 49.114243] 0.04604888482905837
[55.782822, 49.115325] 0.04504689318921085
[55.783098, 49.116687] 0.043664660791080744
[55.78461, 49.118498] 0.041740120423878195
[55.784967, 49.119062] 0.04115609840594814
[55.786973, 49.1222] 0.03795684986929357
[55.788243, 49.123763] 0.03640717930573973
[55.792432, 49.124888] 0.03565001892005264
[55.794123, 49.125128] 0.03570035854162043
