Bus number: 11934, root cords: [55.787489, 49.122289]
[55.790033, 49.147683] 0.025521112279834706
[55.789217, 49.146133] 0.023906532998321826
[55.7905, 49.141833] 0.019774581082790534
[55.789883, 49.138217] 0.016106905972279758
[55.789233, 49.13575] 0.013573505700444312
[55.787967, 49.1309] 0.008624256779567257
[55.787367, 49.128467] 0.006179204479541067
[55.787133, 49.126717] 0.004442287698920215
[55.787117, 49.125333] 0.0030666463767399536
[55.787217, 49.124817] 0.002542590804669852
[55.787567, 49.124083] 0.0017956948515793624
[55.7872, 49.1218] 5.680158448520373E-4
[55.786533, 49.12105] 0.001564946324963685
[55.786867, 49.1222] 6.283351016777205E-4
[55.786917, 49.1223] 5.721057594518705E-4
[55.78695, 49.122267] 5.39448792753974E-4
[55.7871, 49.1224] 4.045268841474856E-4
[55.787717, 49.123383] 0.001117506152103254
[55.787217, 49.127567] 0.005285004068112887
[55.788117, 49.131333] 0.009065777407366856
[55.789017, 49.135033] 0.012835276389698311
[55.78935, 49.1362] 0.014034929355005651
[55.789583, 49.13705] 0.01490878791183237
[55.7903, 49.139983] 0.017915896767953406
[55.7895, 49.143583] 0.02138874837385013
[55.788333, 49.147983] 0.02570785817605339
[55.788167, 49.150433] 0.02815216545844849
[55.787883, 49.153667] 0.031380473546455366
[55.7877, 49.1549] 0.032611682599947546
[55.787533, 49.156517] 0.03422802828092671
[55.787417, 49.157933] 0.035644072719034824
[55.78725, 49.159717] 0.037428763070663784
[55.7867, 49.166017] 0.0437351175258454
[55.7872, 49.17095] 0.04866185818482043
[55.784417, 49.170817] 0.04862513720288893
[55.78195, 49.170533] 0.04856093138521628
[55.7796, 49.1721] 0.05043185542888352
[55.774983, 49.17475] 0.053931035193107046
[55.770617, 49.176033] 0.056330115568844756
[55.768617, 49.177783] 0.05861515520750257
[55.76685, 49.179683] 0.06099212700832416
[55.766367, 49.180483] 0.06190864656895645
[55.765667, 49.181717] 0.06330787366512672
[55.763283, 49.18585] 0.0680141982015518
[55.7615, 49.188983] 0.07157875213357598
[55.76, 49.191383] 0.07436145478001435
[55.759167, 49.192883] 0.07606345061854698
[55.756333, 49.197683] 0.08157788653795546
[55.753533, 49.20245] 0.08705627982517816
[55.751583, 49.205967] 0.09105629313781745
[55.747783, 49.212217] 0.09830367042995027
[55.7477, 49.212217] 0.09833722441171502
[55.74785, 49.2123] 0.09835258228434848
[55.744533, 49.217867] 0.10478727031466938
[55.74195, 49.222417] 0.10999734953624754
[55.740833, 49.2243] 0.11217408995396107
[55.740667, 49.225233] 0.11309185125374885
[55.74325, 49.229917] 0.11636526760592873
[55.745417, 49.233983] 0.11935494468181776
[55.749317, 49.240717] 0.12442786170307238
[55.750617, 49.24295] 0.12616901880017845
[55.750617, 49.24295] 0.12616901880017845
[55.749817, 49.252417] 0.13547131049783132
[55.746783, 49.262167] 0.14568058662704128
[55.744533, 49.265717] 0.14972244026865295
