Bus number: 2435, root cords: [55.787489, 49.122289]
[55.793863, 49.132512] 0.012047306960476161
[55.793553, 49.136968] 0.0158822270793505
[55.793422, 49.138467] 0.017231603900968485
[55.793873, 49.143323] 0.021981460643004862
[55.793193, 49.148213] 0.026544102772552404
[55.790328, 49.147237] 0.02510901481539554
[55.78832, 49.147963] 0.025687445124024006
[55.787892, 49.152408] 0.03012169600138654
[55.787533, 49.155363] 0.03307402926768894
[55.787342, 49.157637] 0.035348305659535256
[55.787263, 49.158113] 0.03582471286695626
[55.787137, 49.159105] 0.036817682708171685
[55.78698, 49.159793] 0.03750745388585958
[55.786967, 49.16006] 0.03777460688081285
[55.786535, 49.164847] 0.04256869131180768
[55.786777, 49.166662] 0.044378711934890805
[55.786993, 49.168375] 0.04608866901961452
[55.786993, 49.168375] 0.04608866901961452
[55.786033, 49.170828] 0.04856083254022535
[55.782865, 49.170367] 0.04829984948216385
[55.779912, 49.171777] 0.050064688883479876
[55.776488, 49.174225] 0.053088323546706326
[55.771738, 49.175342] 0.05534179984423969
[55.77069, 49.175922] 0.05620235840247035
[55.767778, 49.178537] 0.059601686427479934
[55.767182, 49.179203] 0.060428285140321426
[55.766715, 49.179848] 0.06119311690868392
[55.766505, 49.18019] 0.06158615150340266
[55.764577, 49.183598] 0.06545038750840274
[55.763165, 49.186058] 0.06825058488394133
[55.761535, 49.188885] 0.07147473212261472
[55.759663, 49.191942] 0.07500551103085162
[55.756443, 49.197507] 0.0813732243431471
[55.753585, 49.202425] 0.08701298588141507
[55.751908, 49.205315] 0.09032897783656965
[55.751908, 49.205315] 0.09032897783656965
[55.746232, 49.21505] 0.10152213142955269
[55.745198, 49.217317] 0.10401369844880888
[55.747365, 49.221323] 0.10685349096776912
[55.748847, 49.224073] 0.10887234185044063
[55.7515, 49.229052] 0.11266563934936076
[55.753987, 49.231428] 0.11416525445598448
[55.755943, 49.231512] 0.11368735129731862
[55.763335, 49.231692] 0.11203763709129276
[55.766757, 49.23163] 0.11128912842232266
[55.769378, 49.231673] 0.11087320585695899
[55.769378, 49.231673] 0.11087320585695899
[55.77606, 49.23175] 0.1100560428236411
[55.779238, 49.230553] 0.10857795677300097
[55.780605, 49.229293] 0.10722520912546268
[55.783142, 49.223577] 0.10138123767738959
[55.786667, 49.224037] 0.10175132032558656
[55.78989, 49.224675] 0.10241414842197881
[55.791625, 49.225895] 0.10368852266282828
[55.792542, 49.22949] 0.10732002240960993
[55.791975, 49.226408] 0.1042155955555569
[55.791418, 49.22543] 0.10321580751997324
[55.790383, 49.224662] 0.10241389732355662
[55.789168, 49.224607] 0.10233177495284312
[55.787783, 49.224448] 0.10215942304555202
[55.78609, 49.22376] 0.10148064368143954
[55.782788, 49.22341] 0.10123021308878029
[55.782702, 49.219797] 0.09762543435498536
[55.782682, 49.219017] 0.09684737081098158
[55.779213, 49.218713] 0.09677850976327251
[55.780902, 49.219817] 0.09775018850620927
[55.782265, 49.220625] 0.09847466208116297
[55.78215, 49.224327] 0.10217758249733672
[55.781453, 49.228023] 0.10590614737587069
[55.780807, 49.228797] 0.10671739871267269
[55.780193, 49.22928] 0.10723947825777692
[55.779665, 49.229847] 0.10784219183603153
[55.778978, 49.230593] 0.10863790101525017
[55.778288, 49.23128] 0.10937868385567223
[55.777265, 49.231598] 0.10978609956182597
[55.775725, 49.231547] 0.10988950022636068
[55.773498, 49.231563] 0.11016603449793383
[55.77197, 49.231472] 0.11028040102392954
[55.771573, 49.23139] 0.11025582640839958
[55.76901, 49.231358] 0.1106233257590801
[55.767735, 49.231365] 0.11085032382451025
[55.76561, 49.23136] 0.11124375794623248
[55.764472, 49.23141] 0.11152208270113582
[55.762293, 49.231382] 0.11196482065809944
[55.759775, 49.231315] 0.11249326411834705
[55.755458, 49.231195] 0.11351872883801897
[55.75424, 49.231133] 0.11380910480712587
[55.752498, 49.230387] 0.11362019048126738
[55.751003, 49.227813] 0.11165367334754066
[55.749228, 49.224503] 0.1091403038157727
[55.748077, 49.222295] 0.10749188704269728
[55.74737, 49.220998] 0.10655046148187364
[55.74674, 49.219793] 0.10567644494872065
[55.746302, 49.21897] 0.10508846145033916
[55.7455, 49.217482] 0.1040422191708687
[55.747582, 49.21331] 0.09938506472302343
[55.747813, 49.21301] 0.09901759852167233
[55.750575, 49.208173] 0.09348104006695815
[55.750575, 49.208173] 0.09348104006695815
[55.754095, 49.202445] 0.0868340000921259
[55.756325, 49.198453] 0.08229307256385575
[55.757067, 49.19712] 0.08077856550471485
[55.758615, 49.194493] 0.07776326569788591
[55.760042, 49.192208] 0.07511327692225886
[55.760947, 49.190542] 0.0732321635143996
[55.763657, 49.185858] 0.06788948361123451
[55.764657, 49.184543] 0.06630882852229805
[55.766423, 49.180928] 0.06230817504148097
[55.767337, 49.17944] 0.06059983419944182
